fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,0,0,0,2,1,1,46097.6
1,0,1,0,0,0,1,0,131837.2
1,1,0,1,0,2,0,0,135862.0
0,1,1,1,0,1,0,1,46400.2
0,0,0,0,1,2,0,1,46354.2
1,1,1,1,0,1,2,0,130071.2
1,0,0,1,1,1,2,0,135614.0
0,1,1,0,1,1,0,1,46282.6
0,0,1,0,0,2,1,0,46381.6
0,1,0,0,0,2,1,0,46335.6
0,1,0,0,0,0,0,1,46111.6
0,1,0,0,0,1,0,1,46240.8
0,1,0,0,0,1,1,1,45980.8
0,0,0,0,0,0,1,0,46297.6
0,1,0,0,0,0,1,1,46294.0
0,1,0,0,0,1,2,1,46341.0
0,1,0,0,0,1,1,2,46379.2
0,1,0,0,1,1,1,1,46124.2
0,1,0,1,0,1,1,1,46356.0
0,1,0,0,1,0,0,1,46267.8
0,1,0,0,1,2,1,1,46358.2
0,1,1,0,0,1,1,1,46539.2
0,1,0,0,1,1,0,1,46099.4
0,1,0,0,0,2,0,1,46248.8
0,1,0,0,0,1,1,0,46318.0
0,0,1,0,1,0,0,0,46268.8
0,0,1,0,1,1,0,0,46121.0
0,0,1,0,1,2,0,0,46342.0
0,0,1,0,1,1,1,0,46271.0
0,0,1,0,1,1,0,1,46229.8
0,0,1,1,1,1,0,0,46688.4
0,0,1,0,1,1,0,2,46359.4
0,0,1,0,1,0,0,1,46185.2
0,0,0,0,0,1,1,1,46208.0
0,1,0,0,0,2,2,1,46094.8
0,1,0,0,1,2,2,1,46191.2
0,0,0,0,0,0,1,1,46349.4
0,0,0,0,0,1,0,1,46169.2
0,0,0,0,1,1,0,1,46113.2
0,0,0,0,0,2,2,1,46256.6
0,0,0,0,0,0,0,1,47571.0
0,1,0,0,0,0,0,0,46500.4
0,1,0,0,0,0,0,2,46154.0
0,1,0,1,0,0,0,1,46447.6
0,1,1,0,0,0,0,1,46321.6
0,0,0,0,1,1,1,1,46255.2
0,0,1,0,0,0,0,1,46199.0
0,0,1,0,1,0,1,1,47386.4
0,0,1,0,1,0,0,2,46238.6
0,0,1,1,1,0,0,1,46681.8
0,0,0,0,1,2,2,1,46176.6
0,0,1,0,0,0,0,2,46095.0
0,0,1,0,0,0,1,2,46330.8
0,0,1,1,0,0,0,2,46806.8
0,0,1,0,0,0,0,0,46097.4
0,0,0,0,0,0,0,2,46558.6
0,0,0,0,0,0,0,0,46272.2
0,0,0,0,0,2,0,1,46194.6
0,0,0,0,0,2,1,1,46252.0
0,1,0,0,1,0,0,2,46135.0
0,0,1,0,0,0,1,0,46528.8
0,1,0,0,1,0,1,2,46203.2
0,1,0,0,1,0,1,1,46054.6
0,1,0,0,1,0,2,1,46172.8
0,1,0,0,1,0,2,2,46295.6
0,1,0,0,0,0,2,1,46224.0
0,0,0,0,0,1,0,0,46236.8
0,0,0,0,1,1,0,0,47198.6
0,0,1,0,0,1,0,0,46293.4
0,0,1,0,1,2,2,1,45939.8
0,0,1,0,0,1,2,1,46138.8
0,0,1,0,1,1,2,1,47486.6
0,0,1,0,0,2,2,0,46243.2
0,0,1,0,1,2,2,0,46282.0
0,0,1,0,0,2,2,1,46212.8
0,0,1,0,1,2,2,2,47000.2
0,0,1,0,1,2,1,1,46106.2
0,0,1,0,1,2,0,1,46177.2
0,0,0,0,1,1,0,2,46108.2
0,0,0,0,0,0,2,0,46471.2
0,0,0,0,0,1,2,0,46255.0
0,0,1,0,1,1,1,1,46365.0
0,0,1,0,1,2,1,2,46508.6
0,0,0,0,1,2,0,2,47094.8
0,0,0,0,1,0,0,2,47346.2
0,0,1,1,1,2,2,1,46821.8
0,0,0,0,0,1,0,2,46501.2
0,0,0,0,1,1,1,2,46212.2
0,0,1,0,0,1,0,1,46254.6
0,0,0,0,0,1,2,1,46582.2
0,0,1,0,0,1,2,0,46078.8
0,1,0,0,0,0,1,2,46264.8
0,1,0,0,1,1,0,2,46277.6
0,0,0,0,1,1,2,2,46304.6
0,0,1,0,0,2,0,1,46432.2
0,0,0,0,1,2,1,1,46303.0
0,0,1,0,0,2,1,1,46146.2
0,0,0,0,0,1,1,0,46204.0
0,0,0,0,0,2,2,0,46275.0
0,0,1,0,0,1,1,1,46245.0
0,0,0,0,1,0,0,0,46337.0
0,1,0,0,1,2,0,2,46310.8
0,1,0,0,1,1,1,2,46303.0
0,0,0,0,1,2,2,0,46294.8
0,1,1,0,0,1,0,0,46183.8
0,1,0,0,0,1,0,0,46022.8
0,1,0,0,0,2,0,0,46440.0
0,1,0,0,1,1,0,0,47040.2
0,1,1,0,0,1,0,1,47200.2
0,1,1,0,0,0,0,0,46338.6
0,1,1,0,0,2,0,0,46407.8
0,1,1,0,0,1,1,0,46214.6
0,1,1,0,1,1,0,0,46285.6
0,1,1,0,0,1,2,0,46144.0
0,1,1,0,1,0,0,1,46614.4
0,1,1,0,1,2,0,1,46256.8
0,1,1,0,1,2,1,1,46398.4
0,1,1,0,1,2,0,2,46381.4
0,1,1,0,1,1,1,0,46212.4
0,1,1,0,1,1,2,0,46129.8
0,1,1,0,1,0,2,0,46325.8
0,1,1,0,1,2,2,0,46169.8
0,1,1,0,0,2,2,0,46640.6
0,1,1,0,1,2,0,0,46083.6
0,1,1,0,1,2,1,0,47092.0
0,0,1,0,0,1,1,0,46140.0
0,1,0,0,0,2,2,0,46178.0
0,0,1,0,0,1,0,2,46307.2
0,1,1,0,0,0,0,2,46357.8
0,1,1,0,0,1,2,1,46311.2
0,1,0,0,0,1,0,2,46368.8
0,1,0,0,1,1,2,1,46405.0
0,1,0,0,1,2,0,1,46142.2
0,0,0,0,0,2,0,0,46207.6
0,0,0,0,0,2,1,0,46305.6
0,0,1,0,0,2,0,0,46199.6
0,1,1,0,0,2,1,0,46092.0
0,1,0,0,0,0,2,2,46336.2
0,1,0,0,0,1,2,0,46158.4
0,1,1,0,0,2,2,1,46047.4
0,1,1,0,0,2,1,1,47095.6
0,1,1,0,0,2,2,2,46191.2
0,0,1,0,0,1,2,2,46233.6
0,0,1,0,0,2,1,2,46383.4
0,0,1,0,0,2,2,2,46148.2
0,1,0,0,0,2,2,2,46039.0
0,0,0,0,0,1,2,2,46476.2
0,0,1,0,0,0,2,0,46180.0
0,1,1,0,0,0,2,0,46144.0
0,0,1,0,0,0,2,1,46389.6
0,0,0,0,0,2,2,2,46042.4
0,1,0,0,0,0,2,0,46122.2
0,1,0,0,1,1,2,2,46213.6
0,1,0,0,1,2,2,2,46104.2
0,1,1,0,1,2,2,2,46447.8
0,1,0,0,1,2,1,2,46133.4
0,1,1,0,0,1,2,2,46145.8
0,1,1,0,0,0,1,1,46317.8
0,1,1,0,1,0,0,0,46194.4
0,1,0,0,0,2,1,2,46102.0
0,1,1,0,0,0,2,1,46145.0
0,1,1,0,1,1,2,1,46436.8
0,1,0,0,0,2,0,2,46096.4
0,1,1,0,0,0,2,2,46715.4
0,1,1,0,1,0,1,0,46219.0
0,1,1,0,0,0,1,0,45922.8
0,1,0,0,0,1,2,2,46197.8
0,0,1,0,0,1,1,2,46163.2
0,1,0,0,0,0,1,0,46403.8
0,0,0,0,0,2,0,2,46167.0
0,0,0,0,0,2,1,2,46426.6
0,0,0,0,0,1,1,2,46245.8
0,0,0,0,0,0,1,2,46285.0
0,1,1,0,0,0,1,2,46121.6
0,0,0,0,1,0,0,1,46267.8
0,0,1,0,1,0,1,2,46345.6
0,0,0,0,1,1,1,0,46184.2
0,0,0,0,1,2,0,0,46214.2
0,0,0,0,1,2,1,0,46100.4
0,0,1,0,1,2,1,0,46064.6
0,0,1,0,1,0,2,2,47106.4
0,1,0,1,0,1,1,0,46439.6
0,1,0,1,0,1,0,1,46599.4
0,1,0,1,0,0,1,1,46348.8
0,1,0,1,0,0,2,1,47346.8
0,1,0,1,0,0,1,2,46203.0
0,1,0,1,0,0,0,2,46433.0
0,1,0,1,0,1,1,2,46586.4
0,1,0,1,1,0,1,2,46329.0
0,1,1,1,0,0,1,2,46771.0
0,0,0,1,0,0,1,2,46361.2
0,1,0,1,0,0,1,0,46431.0
0,1,0,1,1,0,1,1,47491.4
0,0,0,1,1,0,0,2,46482.0
0,1,0,1,1,0,0,2,46521.2
0,0,0,1,1,0,1,2,46806.6
0,1,0,1,1,1,1,2,46535.6
0,1,1,1,1,0,1,2,46753.4
0,0,0,1,0,1,1,1,46551.6
0,1,0,1,0,2,1,1,46598.6
0,1,1,0,0,1,0,2,46235.8
0,1,1,0,0,2,0,2,46427.0
0,0,1,0,1,1,1,2,46545.6
0,0,0,1,0,0,1,1,46405.2
0,1,1,0,1,1,0,2,46615.0
0,1,1,0,1,2,1,2,46207.2
0,1,1,0,1,1,1,1,46188.8
0,0,1,1,0,0,0,0,46508.8
0,0,1,1,0,1,0,0,46483.8
0,0,1,1,0,0,0,1,46456.0
0,1,1,1,0,0,0,0,46507.8
0,0,1,1,0,1,0,1,46881.4
0,1,1,1,0,1,0,0,46517.8
0,1,1,1,0,0,0,1,46505.8
0,1,1,1,0,2,0,1,46750.8
0,1,1,1,0,1,1,1,46551.0
0,0,1,0,0,2,0,2,46143.4
0,0,0,1,0,0,1,0,46269.0
0,1,1,0,0,2,0,1,46191.4
0,0,0,1,0,0,0,2,46738.0
0,1,1,0,1,2,2,1,46493.8
0,1,1,0,1,1,2,2,46577.6
0,1,0,1,0,0,0,0,46355.4
0,0,0,1,0,1,0,0,46486.8
0,1,0,1,0,1,0,0,46584.8
0,0,1,1,0,0,1,1,46966.4
0,0,0,0,0,0,2,2,46314.4
0,0,1,0,0,0,2,2,46191.2
0,0,0,0,0,0,2,1,46298.4
0,0,0,1,1,1,0,2,46338.8
0,0,0,1,1,2,0,2,46327.4
0,1,0,1,1,2,0,2,46615.0
0,1,1,1,1,1,0,1,46877.2
0,0,1,1,0,2,0,0,46610.2
0,0,1,1,0,1,1,0,47257.2
0,0,0,1,0,1,0,1,46355.2
0,0,1,0,1,2,0,2,46301.0
0,0,0,0,1,0,2,2,46073.6
0,0,0,0,1,0,1,2,46327.8
0,1,0,1,1,1,0,2,46322.4
0,0,1,0,0,0,1,1,46291.6
0,1,0,1,1,2,1,2,46447.6
0,0,0,1,1,2,1,2,46339.4
0,0,0,1,1,1,1,2,46615.8
0,1,1,0,0,1,1,2,46157.6
0,0,1,0,1,1,2,2,46408.8
0,1,1,1,0,1,1,0,46558.0
0,1,1,1,0,2,1,1,46824.8
0,1,1,1,0,0,1,1,46311.6
0,1,1,1,0,0,1,0,46687.4
0,1,1,1,1,0,1,1,46751.8
0,0,0,1,0,1,1,0,46366.6
0,0,0,1,0,2,0,1,46554.6
0,0,0,1,0,2,0,0,46452.6
0,0,0,1,0,1,0,2,47528.8
0,0,0,1,0,0,0,0,46461.6
0,0,0,1,1,0,1,0,46340.2
0,1,0,1,0,1,0,2,46394.4
0,0,0,1,1,2,0,1,46274.2
0,0,0,1,1,2,1,1,46307.6
0,0,0,1,0,0,0,1,46287.8
0,1,0,1,1,0,0,0,46400.6
0,0,0,1,0,2,1,0,46388.8
0,0,0,1,1,1,1,0,46472.4
0,1,0,1,1,0,1,0,46752.4
0,1,0,1,1,1,0,0,46367.0
0,1,0,1,1,2,0,0,46319.0
0,1,0,1,0,2,1,0,46658.8
0,1,0,1,1,2,1,1,46605.0
0,1,0,1,0,2,1,2,46431.0
0,0,0,1,1,2,0,0,46438.2
0,0,0,1,1,0,0,0,46471.2
0,0,0,1,1,2,1,0,46222.8
0,0,0,1,1,1,0,0,46335.6
0,0,0,1,0,2,1,1,46393.4
0,0,0,1,0,2,1,2,46597.8
0,1,0,1,0,2,0,0,46594.4
0,0,0,1,0,2,0,2,46365.8
0,1,0,1,0,2,0,1,46350.2
0,1,0,1,0,2,0,2,47670.8
0,1,0,1,1,2,0,1,46417.0
0,0,0,1,1,1,0,1,46407.8
0,0,0,1,1,0,0,1,46426.0
0,0,0,1,1,1,1,1,46358.4
0,0,0,1,1,0,1,1,47331.0
0,1,0,1,1,1,1,1,47354.4
0,0,1,1,0,2,0,1,46729.2
0,1,1,1,0,2,0,0,46517.2
0,1,1,1,0,1,0,2,47187.0
0,1,1,1,0,2,1,0,46539.6
0,1,1,0,1,0,1,1,46293.6
0,1,1,0,1,0,1,2,46694.0
0,1,1,0,1,0,2,1,46469.6
0,1,1,0,1,1,1,2,46460.8
0,1,0,0,1,0,1,0,46237.6
0,0,0,0,1,0,1,1,46184.4
0,1,0,0,1,2,1,0,46192.0
0,0,0,0,1,2,2,2,46070.8
0,0,0,0,1,2,1,2,46282.0
0,1,0,0,1,1,1,0,46673.2
0,0,1,0,1,1,2,0,46260.2
0,0,0,0,1,0,1,0,46194.8
0,0,0,0,1,1,2,0,46035.0
0,0,0,0,1,0,2,0,46295.4
0,0,0,0,1,0,2,1,46172.2
0,1,0,0,1,2,2,0,46163.4
0,0,0,0,1,1,2,1,46299.2
0,1,0,0,1,2,0,0,46288.6
0,0,1,0,1,0,1,0,46344.4
0,1,0,0,1,0,2,0,46155.2
0,1,0,0,1,1,2,0,46355.2
0,0,1,0,1,0,2,0,46132.4
0,1,1,0,1,0,2,2,46412.4
0,1,1,0,1,0,0,2,46299.4
0,0,1,1,1,0,0,0,46643.2
0,0,1,1,1,2,0,0,46651.4
0,0,1,1,1,2,0,1,47568.6
0,1,1,1,0,0,2,1,46801.8
0,1,1,1,0,2,2,0,46431.0
0,1,1,1,0,0,2,0,46517.6
0,1,1,1,1,2,2,0,46982.0
0,1,1,1,0,1,2,0,46666.8
0,0,1,1,1,0,1,0,46834.4
0,0,1,1,1,2,1,0,46788.6
0,1,1,1,1,2,0,0,46692.8
0,0,1,1,1,0,0,2,46572.8
0,0,1,1,1,1,0,2,46785.8
0,0,1,1,1,1,0,1,46692.6
0,1,1,1,1,0,1,0,46723.2
0,1,1,1,1,0,0,0,46733.2
0,1,1,1,1,0,2,0,46707.6
0,1,1,1,1,0,0,1,46856.0
0,1,1,1,1,1,2,0,46742.0
0,1,1,1,1,1,0,0,46463.2
0,0,1,1,1,0,1,2,46617.4
0,0,1,1,1,0,2,2,46738.6
0,0,1,1,1,0,1,1,46645.6
0,0,1,1,1,1,1,0,46778.0
0,0,1,1,1,0,2,1,46610.2
0,1,1,1,1,1,1,0,46554.0
0,0,1,1,1,1,1,1,46669.0
0,0,1,1,1,1,2,1,46659.6
0,1,1,1,1,1,1,1,46970.2
0,1,1,1,1,0,2,1,47233.2
0,1,0,1,1,1,1,0,47454.8
0,1,0,1,1,0,0,1,46520.6
0,1,0,1,1,1,0,1,46445.4
0,1,0,1,1,2,1,0,46453.0
0,1,1,1,0,0,0,2,46404.4
0,0,1,1,0,2,0,2,46625.0
0,1,1,1,0,0,2,2,46414.2
0,0,1,1,1,1,2,0,46567.8
0,0,1,1,1,0,2,0,46565.6
0,0,1,1,1,1,2,2,46593.6
0,0,1,1,1,1,1,2,46649.4
0,1,1,1,1,2,1,0,46778.4
0,1,1,1,0,1,2,1,46795.6
0,0,1,1,1,2,2,2,46299.2
0,0,1,1,1,2,0,2,46800.0
0,1,1,1,1,2,2,2,46325.4
0,1,1,1,1,1,2,2,46787.2
0,1,1,1,1,0,0,2,46733.4
0,1,1,1,1,1,0,2,47014.0
0,1,1,1,1,0,2,2,46849.4
0,0,1,1,1,2,1,2,46812.0
0,1,1,1,1,2,0,2,46885.8
0,1,1,1,1,2,2,1,46796.2
0,0,1,1,1,2,2,0,46605.0
0,1,1,1,0,2,2,1,46477.8
0,0,1,1,0,1,0,2,46450.2
0,1,1,1,1,2,0,1,46812.2
0,1,1,1,1,2,1,1,46674.6
